Transaction_ID,Customer_ID,Product_ID,Transaction_Date,Units_Sold,Discount_Applied,Revenue,Clicks,Impressions,Conversion_Rate,Category,Region,Ad_CTR,Ad_CPC,Ad_Spend
8b460852-7c64-46fa-998b-b0976879d082,Customer_65,Product_224,2024-10-06,134,0.14,305.54,11,65,0.17,Electronics,Europe,0.018,0.55,9.9
418612e7-8744-4ba3-bb0c-105b47e2a968,Customer_1910,Product_584,2024-10-29,109,0.3,1102.19,15,201,0.07,Home Appliances,Asia,0.1589,0.4,63.56
5bc3b98f-cb0c-4b12-947c-df8bbb35a73e,Customer_2306,Product_374,2024-04-04,116,0.04,471.29,16,199,0.08,Toys,Asia,0.0596,1.5,89.4
28fb67c8-e8c0-447a-841c-f760730de0eb,Customer_17206,Product_220,2024-08-25,125,0.2,980.26,12,355,0.03,Clothing,Europe,0.0444,0.44,19.54
8bee087a-a8a9-45bb-89d7-04d1710f1b00,Customer_16033,Product_358,2024-05-05,132,0.07,803.76,44,355,0.12,Books,North America,0.127,0.53,67.31
d870c42d-2d96-4f8c-a125-0f348264c5af,Customer_16604,Product_132,2024-09-22,160,0.25,69.37,4,73,0.05,Electronics,North America,0.0153,1.13,17.29
1110dffb-5c4e-4c0d-b082-461809386e84,Customer_98,Product_609,2023-12-08,145,0.17,121.56,25,110,0.23,Clothing,North America,0.0889,1.97,175.13
f259105c-cbc9-4007-84b9-2a1d90b3cf7f,Customer_18688,Product_590,2024-04-30,121,0.28,208.64,1,208,0.0,Electronics,Asia,0.0133,1.22,16.23
2c2a232d-838c-43f8-a485-d954b6135ea6,Customer_883,Product_807,2024-04-10,152,0.2,757.34,27,73,0.37,Toys,North America,0.1562,1.55,242.11
6d22bd77-c31f-4df9-ac21-59f4b72e01e0,Customer_16891,Product_156,2024-11-24,152,0.17,163.74,10,299,0.03,Toys,North America,0.0728,0.75,54.6
cd04fa0a-feb4-40f4-a0d7-2b18b77493d7,Customer_16365,Product_5,2023-12-16,114,0.13,600.25,34,390,0.09,Clothing,Asia,0.0141,1.83,25.8
d50bcd5b-0199-409d-99c2-ff522d3aa957,Customer_7549,Product_933,2024-10-07,102,0.24,226.05,42,202,0.21,Books,Asia,0.1941,0.1,19.41
e3e22774-6044-43d7-9f41-deed99df6514,Customer_8242,Product_743,2024-07-06,117,0.12,195.44,20,189,0.11,Home Appliances,Europe,0.1056,0.57,60.19
73bde555-b073-46dc-9e45-5276a9ea9458,Customer_14971,Product_467,2024-11-11,131,0.09,135.11,8,102,0.08,Toys,Europe,0.1521,0.87,132.33
6e3d69f4-f6b5-4c07-992b-becf64a6ee24,Customer_18992,Product_214,2024-03-21,132,0.19,374.76,40,426,0.09,Books,North America,0.0849,1.52,129.05
09eef1fd-314f-4f8d-a01a-4323bcc18803,Customer_7403,Product_873,2024-05-27,102,0.0,314.68,33,418,0.08,Books,Asia,0.0152,1.11,16.87
f9367ad0-ee4e-45f1-93d4-981ce82ee719,Customer_2116,Product_428,2024-05-13,163,0.04,209.7,1,94,0.01,Electronics,North America,0.0865,0.2,17.3
51c09eec-cdb3-44b2-8fac-da0dec6e0285,Customer_17186,Product_743,2024-04-15,108,0.1,399.76,43,308,0.14,Home Appliances,Asia,0.0945,1.93,182.38
1b95c177-0422-498f-9285-fbac64053117,Customer_6107,Product_964,2024-08-01,145,0.18,243.97,24,285,0.08,Clothing,North America,0.0316,1.03,32.55
83f10a4b-f2f4-4530-9404-4b74a1611292,Customer_16981,Product_863,2024-11-29,429,0.12,1079.23,11,488,0.02,Home Appliances,North America,0.0127,0.33,4.19
68eda151-986e-4889-9a0b-67c181de3747,Customer_7342,Product_296,2024-09-14,136,0.17,357.81,29,43,0.67,Books,North America,0.0422,0.84,35.45
abbfd3e1-e468-424f-b3ac-d632e4f777ea,Customer_2280,Product_344,2024-04-03,116,0.03,1132.88,46,66,0.7,Books,Europe,0.1345,0.38,51.11
8dfd5542-db6b-4cf5-989e-e1b91dad558e,Customer_1280,Product_299,2024-02-14,104,0.1,76.14,10,22,0.45,Books,Asia,0.1505,0.21,31.6
c646ed88-e646-4240-9c02-5548eea1b58f,Customer_11997,Product_334,2024-01-19,132,0.0,656.22,8,307,0.03,Toys,Europe,0.1027,1.13,116.05
02d8b930-d4ca-45b1-8fb9-85608989896c,Customer_3768,Product_39,2024-03-15,163,0.26,487.02,41,484,0.08,Electronics,North America,0.1752,1.9,332.88
b771a3ef-edb8-43c1-a49b-e465e73421c5,Customer_16948,Product_472,2024-08-05,135,0.01,141.89,38,375,0.1,Electronics,Europe,0.087,0.98,85.26
1986f49e-48fd-4224-9df8-3012628d3838,Customer_17356,Product_686,2024-03-04,122,0.2,1560.38,45,133,0.34,Home Appliances,Europe,0.1344,0.58,77.95
1b0ebf97-2fae-48ec-8cf9-e6fbe16c0ca9,Customer_13484,Product_896,2024-10-26,131,0.27,215.73,15,26,0.58,Toys,Europe,0.0208,1.81,37.65
f2bd2fbd-8555-4f26-9807-b697560ca5b6,Customer_13702,Product_172,2024-02-09,141,0.06,827.16,6,493,0.01,Home Appliances,North America,0.0246,1.1,27.06
20eb4ba0-1427-499b-9a92-117b52a758c9,Customer_5557,Product_863,2024-10-07,143,0.02,300.47,13,479,0.03,Home Appliances,North America,0.1805,1.62,292.41
fab5c2e7-3624-47bd-9a85-a1a162ebd8b2,Customer_13012,Product_939,2024-01-17,114,0.01,103.71,14,343,0.04,Books,Europe,0.1618,1.98,320.36
daf10281-860f-4ba7-9357-1cef4007e25f,Customer_18531,Product_966,2023-12-11,116,0.16,977.13,8,268,0.03,Clothing,Asia,0.0522,0.71,37.06
a6795bcb-046d-4701-a304-05be9954a5cc,Customer_16432,Product_327,2024-07-03,150,0.3,41.29,6,298,0.02,Clothing,North America,0.0881,1.12,98.67
db4de5de-b6e6-4a92-853c-baccd22abcda,Customer_8291,Product_856,2024-04-15,128,0.15,1347.35,39,263,0.15,Electronics,Asia,0.1024,0.8,81.92
e81cc085-49f7-4a95-891b-a67f48a88fe1,Customer_16832,Product_115,2024-06-30,120,0.22,237.74,27,409,0.07,Home Appliances,Europe,0.0108,0.62,6.7
502a918a-1949-4e6c-977c-ca50df483c83,Customer_16972,Product_56,2024-09-05,158,0.04,736.59,13,121,0.11,Toys,North America,0.1099,1.51,165.95
ac6b51d9-1eb8-4e9b-ae91-052358d6f78c,Customer_2839,Product_121,2024-05-27,131,0.3,338.23,43,201,0.21,Toys,Europe,0.0139,0.41,5.7
f2f43759-7ddf-4c2c-8d3b-901429173bb5,Customer_1440,Product_376,2024-01-14,137,0.08,450.85,14,262,0.05,Electronics,Europe,0.1221,1.8,219.78
d213ce53-097d-411a-a59e-fbc1f33a5aa1,Customer_4949,Product_408,2024-06-09,139,0.15,1575.56,14,15,0.93,Books,North America,0.1216,1.54,187.26
ba5518a8-4005-42e1-be63-8f7fbfc6bce4,Customer_8190,Product_759,2024-02-21,114,0.06,282.99,17,221,0.08,Clothing,Asia,0.0822,0.13,10.69
15376065-f6c3-4a3e-b913-63b0ed7b233d,Customer_3150,Product_815,2024-09-10,151,0.24,347.46,49,247,0.2,Clothing,North America,0.1795,1.1,197.45
3ebcf74a-4e85-4b1c-adc9-cf0d16a88edb,Customer_12284,Product_298,2024-03-16,138,0.16,221.89,4,449,0.01,Electronics,Europe,0.0601,1.94,116.59
1438c485-49d0-400c-ab9c-731c59d78ad4,Customer_2203,Product_764,2024-03-08,147,0.25,47.28,9,99,0.09,Home Appliances,North America,0.1692,1.17,197.96
6bb48363-9548-463c-9208-e2e982b6d627,Customer_6605,Product_619,2024-09-22,166,0.14,1057.59,6,223,0.03,Electronics,North America,0.0839,1.02,85.58
3635c2f8-b667-4c41-8320-944802dd7b7c,Customer_16464,Product_295,2024-03-30,158,0.17,167.78,4,197,0.02,Toys,North America,0.1831,1.37,250.85
f67947f1-c372-4aac-9872-b41a3dd78506,Customer_9187,Product_704,2024-05-22,159,0.05,266.87,45,198,0.23,Toys,North America,0.1743,0.92,160.36
6005ee52-a251-4345-9555-a8466c607a8f,Customer_13805,Product_803,2024-09-09,142,0.3,576.41,3,119,0.03,Electronics,Europe,0.0603,0.49,29.55
964a36ff-d4fd-4ac6-bd7c-7c374de1da1a,Customer_2606,Product_691,2024-04-13,128,0.24,316.9,23,303,0.08,Electronics,Asia,0.055,1.96,107.8
4b0a9f92-4fe0-461d-80da-cb149db6ddc3,Customer_3119,Product_474,2024-04-01,156,0.26,258.81,15,220,0.07,Toys,North America,0.1849,1.02,188.6
2577e7f7-336f-49fc-b9f2-0622fff353ad,Customer_18685,Product_115,2024-08-15,111,0.2,487.68,49,14,3.5,Home Appliances,Asia,0.0557,0.42,23.39
2fd840b7-6a70-4326-b8d4-468488aec8f7,Customer_132,Product_736,2023-12-11,114,0.22,1011.75,13,178,0.07,Home Appliances,Asia,0.0605,0.73,44.16
6b1ff324-f7c9-4e79-adf0-d6e6040c45a9,Customer_5786,Product_336,2024-03-27,140,0.22,499.5,25,151,0.17,Books,North America,0.0635,1.12,71.12
8aec53a8-9086-4967-85cc-7a47fb6225ce,Customer_19616,Product_49,2023-12-21,144,0.2,199.79,26,308,0.08,Home Appliances,North America,0.1783,1.63,290.63
002812ae-c2ee-4538-8970-e02e1f9000e7,Customer_3625,Product_21,2024-02-20,116,0.27,158.11,38,453,0.08,Books,Europe,0.1007,1.79,180.25
f36f8c11-cf3e-4bb5-bff7-93b02a7c9fc0,Customer_5717,Product_10,2024-01-27,136,0.22,523.22,7,178,0.04,Toys,Europe,0.1404,1.81,254.12
d4261d32-b889-4bf0-b68e-fcc5881ed1f3,Customer_18281,Product_985,2023-12-16,119,0.2,1299.2,47,298,0.16,Books,Europe,0.1396,1.13,157.75
8399eacf-af18-4307-bd68-5b0567f19525,Customer_16308,Product_422,2024-09-07,119,0.07,841.8,41,45,0.91,Books,Europe,0.1377,1.75,240.98
